Resolucao,Kernel,Iteracoes,Threads,Tempo
512,5,100,1,0.396650
512,5,100,2,
512,5,100,4,
512,5,100,8,
512,5,500,1,2.011132
512,5,500,2,
512,5,500,4,
512,5,500,8,
512,5,1000,1,3.930731
512,5,1000,2,
512,5,1000,4,
512,5,1000,8,
1024,5,100,1,1.709447
1024,5,100,2,
1024,5,100,4,
1024,5,100,8,
1024,5,500,1,7.978001
1024,5,500,2,
1024,5,500,4,
1024,5,500,8,
1024,5,1000,1,16.234265
1024,5,1000,2,
1024,5,1000,4,
1024,5,1000,8,
2048,5,100,1,6.442012
2048,5,100,2,
2048,5,100,4,
2048,5,100,8,
2048,5,500,1,32.239277
2048,5,500,2,
2048,5,500,4,
2048,5,500,8,
2048,5,1000,1,64.189969
2048,5,1000,2,
2048,5,1000,4,
2048,5,1000,8,
512,5,100,1,0.448502
512,5,100,2,
512,5,100,4,
512,5,100,8,
512,5,500,1,2.189355
512,5,500,2,
512,5,500,4,
512,5,500,8,
512,5,1000,1,4.189242
512,5,1000,2,
512,5,1000,4,
512,5,1000,8,
1024,5,100,1,1.787538
1024,5,100,2,
1024,5,100,4,
1024,5,100,8,
1024,5,500,1,8.781799
1024,5,500,2,
1024,5,500,4,
1024,5,500,8,
1024,5,1000,1,17.046410
1024,5,1000,2,
1024,5,1000,4,
1024,5,1000,8,
2048,5,100,1,6.625587
2048,5,100,2,
2048,5,100,4,
2048,5,100,8,
2048,5,500,1,34.710882
2048,5,500,2,
2048,5,500,4,
2048,5,500,8,
2048,5,1000,1,74.299842
2048,5,1000,2,
2048,5,1000,4,
2048,5,1000,8,
4096,5,100,1,27.404246
4096,5,100,2,
4096,5,100,4,
4096,5,100,8,
4096,5,500,1,126.314396
4096,5,500,2,
