Resolucao,Kernel,Iteracoes,Processos,Tempo
512,3,100,1,0.09331
512,3,100,1,0.084727
512,3,100,1,0.095562
512,3,100,1,0.095967
512,3,100,1,0.095227
512,3,100,2,0.052981
512,3,100,4,0.042762
512,3,100,8,0.04406
512,3,100,2,0.053328
512,3,100,4,0.042972
512,3,100,8,0.043421
512,3,100,2,0.052869
512,3,100,4,0.046432
512,3,100,8,0.072945
512,3,100,2,0.053757
512,3,100,4,0.045657
512,3,100,8,0.053997
512,3,100,2,0.052471
512,3,100,4,0.042468
512,3,100,8,0.044352
512,3,500,1,0.339259
512,3,500,1,0.358703
512,3,500,1,0.355976
512,3,500,1,0.356202
512,3,500,1,0.355622
512,3,500,2,0.242543
512,3,500,4,0.155704
512,3,500,8,0.161258
512,3,500,2,0.24917
512,3,500,4,0.164332
512,3,500,8,0.159483
512,3,500,2,0.252766
512,3,500,4,0.172632
512,3,500,8,0.159733
512,3,500,2,0.260182
512,3,500,4,0.16508
512,3,500,8,0.163896
512,3,500,2,0.248484
512,3,500,4,0.157072
512,3,500,8,0.160788
512,3,1000,1,0.682537
512,3,1000,1,0.691593
512,3,1000,1,0.696008
512,3,1000,1,0.691006
512,3,1000,1,0.686188
512,3,1000,2,0.481425
512,3,1000,4,0.292337
512,3,1000,8,0.301435
512,3,1000,2,0.506984
512,3,1000,4,0.303766
512,3,1000,8,0.302938
512,3,1000,2,0.615003
512,3,1000,4,0.407269
512,3,1000,8,0.356406
512,3,1000,2,0.577322
512,3,1000,4,0.413084
512,3,1000,8,0.351325
512,3,1000,2,0.482327
512,3,1000,4,0.301267
512,3,1000,8,0.310881
1024,3,100,1,0.286606
1024,3,100,1,0.287397
1024,3,100,1,0.282484
1024,3,100,1,0.284133
1024,3,100,1,0.289365
1024,3,100,2,0.196917
1024,3,100,4,0.118394
1024,3,100,8,0.118628
1024,3,100,2,0.21026
1024,3,100,4,0.145709
1024,3,100,8,0.125219
1024,3,100,2,0.29915
1024,3,100,4,0.163635
1024,3,100,8,0.127852
1024,3,100,2,0.274651
1024,3,100,4,0.15436
1024,3,100,8,0.123748
1024,3,100,2,0.215399
1024,3,100,4,0.125719
1024,3,100,8,0.119655
1024,3,500,1,1.306453
1024,3,500,1,1.310078
1024,3,500,1,1.324772
1024,3,500,1,1.313749
1024,3,500,1,1.304083
1024,3,500,2,0.956799
1024,3,500,4,0.559378
1024,3,500,8,0.552526
1024,3,500,2,0.980519
1024,3,500,4,0.600678
1024,3,500,8,0.570801
1024,3,500,2,1.192951
1024,3,500,4,0.818151
1024,3,500,8,0.691528
1024,3,500,2,1.165834
1024,3,500,4,0.813272
1024,3,500,8,0.657099
1024,3,500,2,1.029624
1024,3,500,4,0.64579
1024,3,500,8,0.581112
1024,3,1000,1,2.597534
1024,3,1000,1,2.618352
1024,3,1000,1,2.645098
1024,3,1000,1,2.626595
1024,3,1000,1,2.569455
1024,3,1000,2,1.919603
1024,3,1000,4,1.113137
1024,3,1000,8,1.100474
1024,3,1000,2,2.041838
1024,3,1000,4,1.201964
1024,3,1000,8,1.204682
1024,3,1000,2,2.353773
1024,3,1000,4,1.709849
1024,3,1000,8,1.406785
1024,3,1000,2,2.268222
1024,3,1000,4,1.607505
