Resolucao,Kernel,Iteracoes,BlockSize,Tempo,Occupancy
512,3,100,8,0.002126,86.47
512,3,100,8,0.002273,85.82
512,3,100,8,0.002079,86.45
512,3,100,16,0.002097,86.33
512,3,100,16,0.002078,86.59
512,3,100,16,0.002075,86.57
512,3,100,32,0.002640,61.01
512,3,100,32,0.002584,61.02
512,3,100,32,0.002560,61.14
512,3,500,8,0.010366,86.27
512,3,500,8,0.010285,85.93
512,3,500,8,0.010829,86.43
512,3,500,16,0.010439,86.18
512,3,500,16,0.010784,86.30
512,3,500,16,0.010437,86.26
512,3,500,32,0.012639,61.03
512,3,500,32,0.013008,61.01
512,3,500,32,0.012614,61.02
512,3,1000,8,0.021631,86.01
512,3,1000,8,0.021393,85.96
512,3,1000,8,0.020868,86.07
512,3,1000,16,0.022402,86.03
512,3,1000,16,0.021673,86.26
512,3,1000,16,0.020403,86.21
512,3,1000,32,0.026040,61.05
512,3,1000,32,0.025809,61.03
512,3,1000,32,0.027740,61.04
512,5,100,8,0.005933,90.48
512,5,100,8,0.006204,90.56
512,5,100,8,0.005974,90.52
512,5,100,16,0.005345,88.69
512,5,100,16,0.005938,88.69
512,5,100,16,0.006116,88.71
512,5,100,32,0.006134,63.03
512,5,100,32,0.006214,63.00
512,5,100,32,0.006130,63.12
512,5,500,8,0.027158,90.42
512,5,500,8,0.027014,90.45
512,5,500,8,0.027357,90.53
512,5,500,16,0.026970,88.74
512,5,500,16,0.027690,88.77
512,5,500,16,0.026260,88.65
512,5,500,32,0.031768,63.08
512,5,500,32,0.031131,63.15
512,5,500,32,0.031560,63.00
512,5,1000,8,0.053707,90.57
512,5,1000,8,0.053845,90.34
512,5,1000,8,0.053282,90.59
512,5,1000,16,0.053801,88.71
512,5,1000,16,0.053553,88.70
512,5,1000,16,0.054620,88.66
512,5,1000,32,0.062263,63.08
512,5,1000,32,0.062600,63.02
512,5,1000,32,0.062605,63.07
1024,3,100,8,0.007336,90.59
1024,3,100,8,0.007295,89.76
1024,3,100,8,0.007342,90.75
1024,3,100,16,0.007276,87.22
1024,3,100,16,0.007330,86.85
1024,3,100,16,0.007271,87.30
1024,3,100,32,0.009600,60.43
1024,3,100,32,0.008652,60.55
1024,3,100,32,0.008842,60.43
1024,3,500,8,0.037035,90.00
1024,3,500,8,0.037379,88.53
1024,3,500,8,0.037028,90.66
1024,3,500,16,0.037249,87.30
1024,3,500,16,0.036949,86.98
1024,3,500,16,0.037307,87.22
1024,3,500,32,0.043536,60.21
1024,3,500,32,0.045577,60.49
1024,3,500,32,0.044833,60.34
1024,3,1000,8,0.074132,89.72
1024,3,1000,8,0.071219,90.55
1024,3,1000,8,0.070984,90.95
1024,3,1000,16,0.074571,87.13
1024,3,1000,16,0.073832,87.18
1024,3,1000,16,0.073565,86.91
1024,3,1000,32,0.079746,60.45
1024,3,1000,32,0.077412,60.50
1024,3,1000,32,0.078389,60.47
1024,5,100,8,0.017186,94.22
1024,5,100,8,0.017175,94.18
1024,5,100,8,0.021108,94.10
1024,5,100,16,0.020605,91.11
1024,5,100,16,0.020787,91.17
1024,5,100,16,0.020638,91.14
1024,5,100,32,0.021790,63.09
1024,5,100,32,0.021587,63.09
1024,5,100,32,0.021790,63.01
1024,5,500,8,0.101815,94.12
1024,5,500,8,0.093828,93.99
1024,5,500,8,0.079450,94.07
1024,5,500,16,0.078920,91.21
1024,5,500,16,0.078953,91.25
1024,5,500,16,0.078800,91.17
1024,5,500,32,0.086027,63.09
1024,5,500,32,0.085621,63.07
1024,5,500,32,0.085963,63.08
1024,5,1000,8,0.159495,94.15
1024,5,1000,8,0.159543,94.15
1024,5,1000,8,0.159676,94.13
1024,5,1000,16,0.157660,91.19
1024,5,1000,16,0.158691,91.13
1024,5,1000,16,0.157818,91.26
1024,5,1000,32,0.172128,63.06
1024,5,1000,32,0.171276,63.04
1024,5,1000,32,0.171465,63.05
2048,3,100,8,0.033386,89.16
2048,3,100,8,0.028983,88.32
2048,3,100,8,0.029027,89.25
2048,3,100,16,0.029634,82.06
2048,3,100,16,0.029603,82.95
2048,3,100,16,0.029610,82.78
