Resolucao,Kernel,Iteracoes,Modo,Tempo
512,5,100,Serial,0.440076
512,5,100,CUDA,0.005295
512,5,500,Serial,2.144573
512,5,500,CUDA,0.026290
512,5,1000,Serial,4.233160
512,5,1000,CUDA,0.052534
1024,5,100,Serial,1.718208
1024,5,100,CUDA,0.019887
1024,5,500,Serial,8.476363
1024,5,500,CUDA,0.099237
1024,5,1000,Serial,17.248028
1024,5,1000,CUDA,0.198441
2048,5,100,Serial,6.799840
2048,5,100,CUDA,0.078631
2048,5,500,Serial,34.292400
2048,5,500,CUDA,0.375658
2048,5,1000,Serial,68.481080
2048,5,1000,CUDA,0.683238
4096,5,100,Serial,27.518271
4096,5,100,CUDA,0.308885
4096,5,500,Serial,136.367521
4096,5,500,CUDA,1.282534
4096,5,1000,Serial,272.998328
4096,5,1000,CUDA,2.504931
512,3,100,Serial,0.173296
512,3,100,CUDA,0.002078
512,3,500,Serial,0.864755
512,3,500,CUDA,0.010201
512,3,1000,Serial,1.735510
512,3,1000,CUDA,0.021947
1024,3,100,Serial,0.699964
1024,3,100,CUDA,0.007277
1024,3,500,Serial,3.466574
1024,3,500,CUDA,0.036176
1024,3,1000,Serial,6.891052
1024,3,1000,CUDA,0.072339
2048,3,100,Serial,2.812536
2048,3,100,CUDA,0.028818
2048,3,500,Serial,14.075550
2048,3,500,CUDA,0.143952
2048,3,1000,Serial,27.861631
2048,3,1000,CUDA,0.287895
4096,3,100,Serial,11.115513
4096,3,100,CUDA,0.114494
4096,3,500,Serial,55.541186
4096,3,500,CUDA,0.573080
4096,3,1000,Serial,111.493906
4096,3,1000,CUDA,1.146906
512,3,100,Serial,0.172679
512,3,100,CUDA,0.002081
512,3,500,Serial,0.866974
512,3,500,CUDA,0.010758
512,3,1000,Serial,1.716379
512,3,1000,CUDA,0.020782
1024,3,100,Serial,0.694966
1024,3,100,CUDA,0.007273
1024,3,500,Serial,3.478361
1024,3,500,CUDA,0.036203
1024,3,1000,Serial,6.877234
1024,3,1000,CUDA,0.072389
2048,3,100,Serial,2.815391
2048,3,100,CUDA,0.028826
2048,3,500,Serial,13.670699
2048,3,500,CUDA,0.143967
2048,3,1000,Serial,27.803975
