Resolucao,Kernel,Iteracoes,Threads,Tempo
512,5,100,1,0.241713
512,5,100,2,0.128970
512,5,100,4,0.063743
512,5,100,8,0.047140
512,5,500,1,1.056857
512,5,500,2,0.541319
512,5,500,4,0.317954
512,5,500,8,0.235674
512,5,1000,1,2.151642
512,5,1000,2,1.117093
512,5,1000,4,0.601939
512,5,1000,8,0.470271
1024,5,100,1,0.890997
1024,5,100,2,0.440299
1024,5,100,4,0.242294
1024,5,100,8,0.154770
1024,5,500,1,4.262478
1024,5,500,2,2.159839
1024,5,500,4,1.216029
1024,5,500,8,0.779990
1024,5,1000,1,8.750201
1024,5,1000,2,4.305419
1024,5,1000,4,2.545879
1024,5,1000,8,1.579422
2048,5,100,1,3.519262
2048,5,100,2,1.713991
2048,5,100,4,1.023415
2048,5,100,8,0.633315
2048,5,500,1,18.152987
2048,5,500,2,8.768786
2048,5,500,4,5.338678
2048,5,500,8,3.262456
2048,5,1000,1,36.291839
2048,5,1000,2,17.763709
2048,5,1000,4,12.225917
2048,5,1000,8,8.685197
512,5,100,1,0.234795
512,5,100,2,0.131855
512,5,100,4,0.065716
512,5,100,8,0.047425
512,5,500,1,1.061338
512,5,500,2,0.554488
512,5,500,4,0.313629
512,5,500,8,0.233835
512,5,1000,1,2.160969
512,5,1000,2,1.114194
512,5,1000,4,0.630349
512,5,1000,8,0.466957
1024,5,100,1,0.866717
1024,5,100,2,0.436293
1024,5,100,4,0.253108
1024,5,100,8,0.154793
1024,5,500,1,4.429126
1024,5,500,2,2.139722
1024,5,500,4,1.197308
1024,5,500,8,0.767616
1024,5,1000,1,8.840360
1024,5,1000,2,4.324765
1024,5,1000,4,2.466203
1024,5,1000,8,1.568901
2048,5,100,1,3.562628
2048,5,100,2,1.718473
2048,5,100,4,0.972575
2048,5,100,8,0.613801
2048,5,500,1,17.694034
2048,5,500,2,8.578892
2048,5,500,4,5.033812
2048,5,500,8,3.190573
2048,5,1000,1,33.986488
2048,5,1000,2,17.369336
2048,5,1000,4,10.576236
2048,5,1000,8,6.674220
512,5,100,1,0.240224
512,5,100,2,0.130386
512,5,100,4,0.064831
512,5,100,8,0.047507
512,5,500,1,1.049157
512,5,500,2,0.552977
512,5,500,4,0.314544
512,5,500,8,0.233902
512,5,1000,1,2.163825
512,5,1000,2,1.115820
512,5,1000,4,0.633725
512,5,1000,8,0.472234
1024,5,100,1,0.902704
1024,5,100,2,0.435299
1024,5,100,4,0.257506
1024,5,100,8,0.158178
1024,5,500,1,4.429924
1024,5,500,2,2.156011
1024,5,500,4,1.234460
1024,5,500,8,0.795898
1024,5,1000,1,8.812549
1024,5,1000,2,4.374804
1024,5,1000,4,2.579237
1024,5,1000,8,1.636529
2048,5,100,1,3.652747
2048,5,100,2,1.766823
2048,5,100,4,1.026697
2048,5,100,8,0.633391
2048,5,500,1,17.711627
2048,5,500,2,8.726518
2048,5,500,4,5.206890
2048,5,500,8,3.265115
2048,5,1000,1,36.028675
2048,5,1000,2,18.708821
2048,5,1000,4,12.729689
2048,5,1000,8,9.060042
512,5,100,1,0.220803
512,5,100,2,0.139176
512,5,100,4,0.063965
512,5,100,8,0.047560
512,5,500,1,1.041833
512,5,500,2,0.548373
512,5,500,4,0.312516
512,5,500,8,0.233386
512,5,1000,1,2.081581
512,5,1000,2,1.114295
512,5,1000,4,0.633024
512,5,1000,8,0.460609
1024,5,100,1,0.882717
1024,5,100,2,0.436052
1024,5,100,4,0.243728
1024,5,100,8,0.152719
1024,5,500,1,4.264610
1024,5,500,2,2.169576
1024,5,500,4,1.185145
1024,5,500,8,0.764721
1024,5,1000,1,8.222135
1024,5,1000,2,4.331711
1024,5,1000,4,2.395045
1024,5,1000,8,1.548433
2048,5,100,1,3.474972
2048,5,100,2,1.730787
2048,5,100,4,0.973876
2048,5,100,8,0.606486
2048,5,500,1,17.500642
2048,5,500,2,8.574167
2048,5,500,4,5.008689
2048,5,500,8,3.181192
2048,5,1000,1,35.353155
2048,5,1000,2,16.922895
2048,5,1000,4,10.394125
2048,5,1000,8,6.337683
512,5,100,1,0.226414
512,5,100,2,0.138815
512,5,100,4,0.063810
512,5,100,8,0.048578
512,5,500,1,1.073084
512,5,500,2,0.553347
512,5,500,4,0.314795
512,5,500,8,0.238935
512,5,1000,1,2.135136
512,5,1000,2,1.121977
512,5,1000,4,0.629765
512,5,1000,8,0.466598
1024,5,100,1,0.873062
1024,5,100,2,0.431234
1024,5,100,4,0.256662
1024,5,100,8,0.155203
1024,5,500,1,4.447174
1024,5,500,2,2.134826
1024,5,500,4,1.209653
1024,5,500,8,0.767343
1024,5,1000,1,8.874418
1024,5,1000,2,4.306891
1024,5,1000,4,2.474004
1024,5,1000,8,1.580282
2048,5,100,1,3.557325
2048,5,100,2,1.691911
2048,5,100,4,0.983045
2048,5,100,8,0.622411
2048,5,500,1,17.859083
2048,5,500,2,8.508524
2048,5,500,4,5.134097
2048,5,500,8,3.180907
2048,5,1000,1,36.164359
2048,5,1000,2,17.276408
2048,5,1000,4,10.682739
2048,5,1000,8,6.525161
512,3,100,1,0.094300
512,3,100,2,0.051829
512,3,100,4,0.027481
512,3,100,8,0.025873
512,3,500,1,0.344552
512,3,500,2,0.194665
512,3,500,4,0.127201
512,3,500,8,0.127397
512,3,1000,1,0.684604
512,3,1000,2,0.390741
512,3,1000,4,0.254326
512,3,1000,8,0.253125
1024,3,100,1,0.286908
1024,3,100,2,0.153677
1024,3,100,4,0.089469
1024,3,100,8,0.071602
1024,3,500,1,1.309020
1024,3,500,2,0.726357
1024,3,500,4,0.436432
1024,3,500,8,0.367202
1024,3,1000,1,2.605564
1024,3,1000,2,1.444789
1024,3,1000,4,0.879390
1024,3,1000,8,0.703038
2048,3,100,1,1.094217
2048,3,100,2,0.579452
2048,3,100,4,0.360438
2048,3,100,8,0.265711
2048,3,500,1,5.268494
2048,3,500,2,2.851814
2048,3,500,4,1.772132
2048,3,500,8,1.305461
2048,3,1000,1,10.519106
2048,3,1000,2,5.890870
2048,3,1000,4,3.604206
2048,3,1000,8,2.666341
512,3,100,1,0.093535
512,3,100,2,0.052076
512,3,100,4,0.027816
512,3,100,8,0.026171
512,3,500,1,0.353131
512,3,500,2,0.195407
512,3,500,4,0.127919
512,3,500,8,0.126949
512,3,1000,1,0.684927
512,3,1000,2,0.390244
512,3,1000,4,0.254834
512,3,1000,8,0.253597
1024,3,100,1,0.289483
1024,3,100,2,0.154666
1024,3,100,4,0.091420
1024,3,100,8,0.072409
1024,3,500,1,1.313953
1024,3,500,2,0.739457
1024,3,500,4,0.451659
1024,3,500,8,0.355292
1024,3,1000,1,2.606234
1024,3,1000,2,1.439461
1024,3,1000,4,0.897578
1024,3,1000,8,0.708114
2048,3,100,1,1.100128
2048,3,100,2,0.591139
2048,3,100,4,0.365439
2048,3,100,8,0.270249
2048,3,500,1,5.266551
2048,3,500,2,2.950189
2048,3,500,4,1.832464
2048,3,500,8,1.345601
2048,3,1000,1,10.575720
2048,3,1000,2,6.062440
2048,3,1000,4,3.700619
2048,3,1000,8,2.775620
512,3,100,1,0.096630
512,3,100,2,0.064415
512,3,100,4,0.027772
512,3,100,8,0.026285
512,3,500,1,0.347387
512,3,500,2,0.196653
512,3,500,4,0.127827
512,3,500,8,0.127077
512,3,1000,1,0.684653
512,3,1000,2,0.391416
512,3,1000,4,0.255492
512,3,1000,8,0.269084
1024,3,100,1,0.289596
1024,3,100,2,0.154762
1024,3,100,4,0.092065
1024,3,100,8,0.072719
1024,3,500,1,1.313406
1024,3,500,2,0.724950
1024,3,500,4,0.452699
1024,3,500,8,0.353869
1024,3,1000,1,2.609372
1024,3,1000,2,1.460002
1024,3,1000,4,0.901638
1024,3,1000,8,0.711987
2048,3,100,1,1.073935
2048,3,100,2,0.606550
2048,3,100,4,0.368165
2048,3,100,8,0.266934
2048,3,500,1,5.298950
2048,3,500,2,3.024151
2048,3,500,4,1.855852
2048,3,500,8,1.368439
2048,3,1000,1,10.579275
2048,3,1000,2,6.121997
2048,3,1000,4,3.772783
2048,3,1000,8,2.826470
512,3,100,1,0.095608
512,3,100,2,0.051694
512,3,100,4,0.028505
512,3,100,8,0.026159
512,3,500,1,0.356229
512,3,500,2,0.197748
512,3,500,4,0.129175
512,3,500,8,0.127369
512,3,1000,1,0.695499
512,3,1000,2,0.391216
512,3,1000,4,0.265157
512,3,1000,8,0.256417
1024,3,100,1,0.288986
1024,3,100,2,0.154853
1024,3,100,4,0.092602
